Y \ X,0.0000m,0.0127m,0.0253m,0.0380m,0.0506m,0.0633m,0.0759m,0.0886m,0.1013m,0.1139m,0.1266m,0.1392m,0.1519m,0.1646m,0.1772m,0.1899m,0.2025m,0.2152m,0.2278m,0.2405m,0.2532m,0.2658m,0.2785m,0.2911m,0.3038m,0.3165m,0.3291m,0.3418m,0.3544m,0.3671m,0.3797m,0.3924m,0.4051m,0.4177m,0.4304m,0.4430m,0.4557m,0.4684m,0.4810m,0.4937m,0.5063m,0.5190m,0.5316m,0.5443m,0.5570m,0.5696m,0.5823m,0.5949m,0.6076m,0.6203m,0.6329m,0.6456m,0.6582m,0.6709m,0.6835m,0.6962m,0.7089m,0.7215m,0.7342m,0.7468m,0.7595m,0.7722m,0.7848m,0.7975m,0.8101m,0.8228m,0.8354m,0.8481m,0.8608m,0.8734m,0.8861m,0.8987m,0.9114m,0.9241m,0.9367m,0.9494m,0.9620m,0.9747m,0.9873m,1.0000m
0.4177m,100.0000,99.4410,98.8889,98.3504,97.8325,97.3418,96.8851,96.4688,96.0994,95.7834,95.5270,95.3364,95.2177,95.1770,95.2205,95.3541,95.5842,95.9170,96.3589,96.9168,97.5976,98.4089,99.3587,100.4556,101.7091,103.1298,104.7299,106.5237,108.5285,110.7675,113.2734,116.0979,119.3292,121.9073,123.9190,125.4137,126.4205,126.9573,127.0351,126.6601,125.8349,124.5584,122.8262,120.6300,117.9569,114.7870,111.0893,106.8126,101.8681,97.3140,93.0605,89.0540,85.2601,81.6543,78.2175,74.9341,71.7907,68.7756,65.8782,63.0888,60.3989,57.8003,55.2857,52.8481,50.4811,48.1787,45.9353,43.7454,41.6041,39.5066,37.4481,35.4244,33.4311,31.4643,29.5198,27.5938,25.6826,23.7823,21.8893,20.0000
0.4304m,100.0000,99.4816,98.9700,98.4721,97.9945,97.5441,97.1274,96.7512,96.4218,96.1459,95.9298,95.7799,95.7026,95.7044,95.7916,95.9709,96.2488,96.6325,97.1290,97.7460,98.4917,99.3747,100.4046,101.5919,102.9483,104.4872,106.2239,108.1770,110.3689,112.8284,115.5936,118.7168,122.2690,125.1349,127.3839,129.0655,130.2134,130.8502,130.9907,130.6437,129.8128,128.4970,126.6907,124.3833,121.5580,118.1903,114.2446,109.6696,104.3939,99.5313,95.0089,90.7729,86.7834,83.0102,79.4293,76.0211,72.7688,69.6581,66.6761,63.8117,61.0545,58.3954,55.8260,53.3386,50.9259,48.5815,46.2991,44.0729,41.8976,39.7679,37.6791,35.6264,33.6055,31.6119,29.6416,27.6905,25.7546,23.8301,21.9132,20.0000
0.4430m,100.0000,99.5154,99.0376,98.5734,98.1295,97.7126,97.3294,96.9866,96.6908,96.4485,96.2663,96.1508,96.1086,96.1463,96.2708,96.4889,96.8078,97.2351,97.7785,98.4466,99.2484,100.1936,101.2932,102.5592,104.0051,105.6466,107.5016,109.5915,111.9417,114.5835,117.5558,120.9066,124.6936,127.7776,130.2146,132.0493,133.3155,134.0376,134.2323,133.9096,133.0739,131.7244,129.8547,127.4526,124.4998,120.9699,116.8274,112.0256,106.5068,101.4084,96.6711,92.2452,88.0903,84.1737,80.4686,76.9522,73.6055,70.4118,67.3567,64.4272,61.6121,58.9009,56.2845,53.7543,51.3026,48.9222,46.6066,44.3495,42.1453,39.9885,37.8739,35.7968,33.7524,31.7363,29.7442,27.7719,25.8153,23.8704,21.9332,20.0000
0.4557m,100.0000,99.5424,99.0916,98.6544,98.2374,97.8474,97.4911,97.1751,96.9063,96.6911,96.5363,96.4485,96.4347,96.5016,96.6563,96.9060,97.2585,97.7215,98.3035,99.0136,99.8616,100.8583,102.0155,103.3465,104.8665,106.5926,108.5446,110.7456,113.2229,116.0083,119.1395,122.6604,126.6195,129.8657,132.4458,134.3999,135.7601,136.5509,136.7894,136.4866,135.6472,134.2703,132.3492,129.8711,126.8170,123.1605,118.8677,113.8969,108.1992,102.9243,98.0218,93.4465,89.1590,85.1260,81.3190,77.7137,74.2891,71.0270,67.9115,64.9285,62.0657,59.3118,56.6568,54.0916,51.6079,49.1982,46.8555,44.5734,42.3456,40.1668,38.0314,35.9344,33.8711,31.8368,29.8270,27.8376,25.8642,23.9029,21.9494,20.0000
0.4684m,100.0000,99.5627,99.1321,98.7151,98.3183,97.9485,97.6123,97.3166,97.0680,96.8733,96.7391,96.6724,96.6800,96.7690,96.9467,97.2206,97.5986,98.0889,98.7004,99.4427,100.3262,101.3624,102.5639,103.9449,105.5217,107.3126,109.3385,111.6237,114.1959,117.0872,120.3338,123.9759,128.0566,131.4181,134.1013,136.1427,137.5726,138.4147,138.6863,138.3986,137.5564,136.1588,134.1990,131.6640,128.5348,124.7857,120.3845,115.2933,109.4689,104.0680,99.0456,94.3599,89.9732,85.8523,81.9678,78.2945,74.8102,71.4956,68.3338,65.3098,62.4104,59.6237,56.9392,54.3473,51.8393,49.4073,47.0440,44.7427,42.4972,40.3016,38.1504,36.0384,33.9607,31.9126,29.8896,27.8872,25.9012,23.9274,21.9617,20.0000
0.4810m,100.0000,99.5762,99.1591,98.7555,98.3722,98.0159,97.6932,97.4110,97.1759,96.9949,96.8745,96.8219,96.8439,96.9478,97.1410,97.4311,97.8263,98.3351,98.9666,99.7307,100.6383,101.7012,102.9327,104.3477,105.9630,107.7976,109.8732,112.2147,114.8500,117.8109,121.1324,124.8527,129.0115,132.4470,135.1969,137.2953,138.7710,139.6472,139.9409,139.6632,138.8192,137.4078,135.4222,132.8496,129.6708,125.8611,121.3897,116.2210,110.3154,104.8330,99.7326,94.9744,90.5219,86.3420,82.4055,78.6863,75.1616,71.8115,68.6183,65.5665,62.6424,59.8335,57.1291,54.5191,51.9947,49.5476,47.1705,44.8564,42.5988,40.3920,38.2302,36.1081,34.0208,31.9635,29.9315,27.9204,25.9260,23.9438,21.9699,20.0000
0.4937m,100.0000,99.5829,99.1726,98.7758,98.3992,98.0496,97.7336,97.4582,97.2299,97.0557,96.9423,96.8967,96.9260,97.0374,97.2383,97.5366,97.9405,98.4585,99.1001,99.8752,100.7950,101.8714,103.1181,104.5502,106.1849,108.0415,110.1422,112.5118,115.1786,118.1740,121.5325,125.2910,129.4880,132.9597,135.7424,137.8689,139.3674,140.2605,140.5652,140.2926,139.4476,138.0293,136.0309,133.4394,130.2362,126.3965,121.8906,116.6840,110.7385,105.2163,100.0773,95.2832,90.7979,86.5886,82.6259,78.8835,75.3385,71.9705,68.7615,65.6957,62.7590,59.9390,57.2245,54.6055,52.0728,49.6181,47.2340,44.9134,42.6498,40.4373,38.2702,36.1431,34.0510,31.9890,29.9525,27.9371,25.9384,23.9521,21.9740,20.0000
0.5063m,100.0000,99.5829,99.1726,98.7758,98.3992,98.0496,97.7336,97.4582,97.2299,97.0557,96.9423,96.8967,96.9260,97.0374,97.2383,97.5366,97.9405,98.4585,99.1001,99.8752,100.7950,101.8714,103.1181,104.5502,106.1849,108.0415,110.1422,112.5118,115.1786,118.1740,121.5325,125.2910,129.4880,132.9597,135.7424,137.8689,139.3674,140.2605,140.5652,140.2926,139.4476,138.0293,136.0309,133.4394,130.2362,126.3965,121.8906,116.6840,110.7385,105.2163,100.0773,95.2832,90.7979,86.5886,82.6259,78.8835,75.3385,71.9705,68.7615,65.6957,62.7590,59.9390,57.2245,54.6055,52.0728,49.6181,47.2340,44.9134,42.6498,40.4373,38.2702,36.1431,34.0510,31.9890,29.9525,27.9371,25.9384,23.9521,21.9740,20.0000
0.5190m,100.0000,99.5762,99.1591,98.7555,98.3722,98.0159,97.6932,97.4110,97.1759,96.9949,96.8745,96.8219,96.8439,96.9478,97.1410,97.4311,97.8263,98.3351,98.9666,99.7307,100.6383,101.7012,102.9327,104.3477,105.9630,107.7976,109.8732,112.2147,114.8500,117.8109,121.1324,124.8527,129.0115,132.4470,135.1969,137.2953,138.7710,139.6472,139.9409,139.6632,138.8192,137.4078,135.4222,132.8496,129.6708,125.8611,121.3897,116.2210,110.3154,104.8330,99.7326,94.9744,90.5219,86.3420,82.4055,78.6863,75.1616,71.8115,68.6183,65.5665,62.6424,59.8335,57.1291,54.5191,51.9947,49.5476,47.1705,44.8564,42.5988,40.3920,38.2302,36.1081,34.0208,31.9635,29.9315,27.9204,25.9260,23.9438,21.9699,20.0000
0.5316m,100.0000,99.5627,99.1321,98.7151,98.3183,97.9485,97.6123,97.3166,97.0680,96.8733,96.7391,96.6724,96.6800,96.7690,96.9467,97.2206,97.5986,98.0889,98.7004,99.4427,100.3262,101.3624,102.5639,103.9449,105.5217,107.3126,109.3385,111.6237,114.1959,117.0872,120.3338,123.9759,128.0566,131.4181,134.1013,136.1427,137.5726,138.4147,138.6863,138.3986,137.5564,136.1588,134.1990,131.6640,128.5348,124.7857,120.3845,115.2933,109.4689,104.0680,99.0456,94.3599,89.9732,85.8523,81.9678,78.2945,74.8102,71.4956,68.3338,65.3098,62.4104,59.6237,56.9392,54.3473,51.8393,49.4073,47.0440,44.7427,42.4972,40.3016,38.1504,36.0384,33.9607,31.9126,29.8896,27.8872,25.9012,23.9274,21.9617,20.0000
0.5443m,100.0000,99.5424,99.0916,98.6544,98.2374,97.8474,97.4911,97.1751,96.9063,96.6911,96.5363,96.4485,96.4347,96.5016,96.6563,96.9060,97.2585,97.7215,98.3035,99.0136,99.8616,100.8583,102.0155,103.3465,104.8665,106.5926,108.5446,110.7456,113.2229,116.0083,119.1395,122.6604,126.6195,129.8657,132.4458,134.3999,135.7601,136.5509,136.7894,136.4866,135.6472,134.2703,132.3492,129.8711,126.8170,123.1605,118.8677,113.8969,108.1992,102.9243,98.0218,93.4465,89.1590,85.1260,81.3190,77.7137,74.2891,71.0270,67.9115,64.9285,62.0657,59.3118,56.6568,54.0916,51.6079,49.1982,46.8555,44.5734,42.3456,40.1668,38.0314,35.9344,33.8711,31.8368,29.8270,27.8376,25.8642,23.9029,21.9494,20.0000
0.5570m,100.0000,99.5154,99.0376,98.5734,98.1295,97.7126,97.3294,96.9866,96.6908,96.4485,96.2663,96.1508,96.1086,96.1463,96.2708,96.4889,96.8078,97.2351,97.7785,98.4466,99.2484,100.1936,101.2932,102.5592,104.0051,105.6466,107.5016,109.5915,111.9417,114.5835,117.5558,120.9066,124.6936,127.7776,130.2146,132.0493,133.3155,134.0376,134.2323,133.9096,133.0739,131.7244,129.8547,127.4526,124.4998,120.9699,116.8274,112.0256,106.5068,101.4084,96.6711,92.2452,88.0903,84.1737,80.4686,76.9522,73.6055,70.4118,67.3567,64.4272,61.6121,58.9009,56.2845,53.7543,51.3026,48.9222,46.6066,44.3495,42.1453,39.9885,37.8739,35.7968,33.7524,31.7363,29.7442,27.7719,25.8153,23.8704,21.9332,20.0000
0.5696m,100.0000,99.4816,98.9700,98.4721,97.9945,97.5441,97.1274,96.7512,96.4218,96.1459,95.9298,95.7799,95.7026,95.7044,95.7916,95.9709,96.2488,96.6325,97.1290,97.7460,98.4917,99.3747,100.4046,101.5919,102.9483,104.4872,106.2239,108.1770,110.3689,112.8284,115.5936,118.7168,122.2690,125.1349,127.3839,129.0655,130.2134,130.8502,130.9907,130.6437,129.8128,128.4970,126.6907,124.3833,121.5580,118.1903,114.2446,109.6696,104.3939,99.5313,95.0089,90.7729,86.7834,83.0102,79.4293,76.0211,72.7688,69.6581,66.6761,63.8117,61.0545,58.3954,55.8260,53.3386,50.9259,48.5815,46.2991,44.0729,41.8976,39.7679,37.6791,35.6264,33.6055,31.6119,29.6416,27.6905,25.7546,23.8301,21.9132,20.0000
0.5823m,100.0000,99.4410,98.8889,98.3504,97.8325,97.3418,96.8851,96.4688,96.0994,95.7834,95.5270,95.3364,95.2177,95.1770,95.2205,95.3541,95.5842,95.9170,96.3589,96.9168,97.5976,98.4089,99.3587,100.4556,101.7091,103.1298,104.7299,106.5237,108.5285,110.7675,113.2734,116.0979,119.3292,121.9073,123.9190,125.4137,126.4205,126.9573,127.0351,126.6601,125.8349,124.5584,122.8262,120.6300,117.9569,114.7870,111.0893,106.8126,101.8681,97.3140,93.0605,89.0540,85.2601,81.6543,78.2175,74.9341,71.7907,68.7756,65.8782,63.0888,60.3989,57.8003,55.2857,52.8481,50.4811,48.1787,45.9353,43.7454,41.6041,39.5066,37.4481,35.4244,33.4311,31.4643,29.5198,27.5938,25.6826,23.7823,21.8893,20.0000
