Y \ X,0.0000m,0.0256m,0.0513m,0.0769m,0.1026m,0.1282m,0.1538m,0.1795m,0.2051m,0.2308m,0.2564m,0.2821m,0.3077m,0.3333m,0.3590m,0.3846m,0.4103m,0.4359m,0.4615m,0.4872m,0.5128m,0.5385m,0.5641m,0.5897m,0.6154m,0.6410m,0.6667m,0.6923m,0.7179m,0.7436m,0.7692m,0.7949m,0.8205m,0.8462m,0.8718m,0.8974m,0.9231m,0.9487m,0.9744m,1.0000m
0.2564m,100.0000,96.5145,93.1434,89.9881,87.1276,84.6152,82.4797,80.7286,79.3530,78.3303,77.6271,77.1997,76.9941,76.9449,76.9743,76.9928,76.9031,76.6083,76.0233,75.0837,73.7510,72.0144,69.8908,67.4224,64.6715,61.7113,58.6141,55.4430,52.2484,49.0669,45.9237,42.8337,39.8043,36.8371,33.9293,31.0746,28.2649,25.4900,22.7390,20.0000
0.2821m,100.0000,97.1050,94.3019,91.6744,89.2916,87.2052,85.4491,84.0404,82.9818,82.2632,81.8627,81.7461,81.8658,82.1573,82.5365,82.8980,83.1180,83.0678,82.6344,81.7352,80.3226,78.3864,75.9529,73.0835,69.8695,66.4175,62.8283,59.1839,55.5447,51.9512,48.4280,44.9878,41.6348,38.3665,35.1764,32.0548,28.9899,25.9687,22.9769,20.0000
0.3077m,100.0000,97.6037,95.2849,93.1158,91.1591,89.4650,88.0712,87.0022,86.2707,85.8781,85.8143,86.0564,86.5657,87.2820,88.1166,88.9445,89.6032,89.9104,89.7115,88.8999,87.4180,85.2559,82.4508,79.0893,75.3055,71.2609,67.0976,62.9197,58.7954,54.7651,50.8492,47.0550,43.3804,39.8177,36.3550,32.9782,29.6714,26.4178,23.1999,20.0000
0.3333m,100.0000,98.0249,96.1182,94.3450,92.7638,91.4247,90.3685,89.6264,89.2207,89.1642,89.4600,90.0997,91.0586,92.2884,93.7032,95.1604,96.4400,97.2590,97.4015,96.7348,95.1936,92.7683,89.5051,85.5175,81.0022,76.2232,71.3817,66.6019,61.9522,57.4645,53.1489,49.0025,45.0143,41.1688,37.4478,33.8316,30.2997,26.8312,23.4050,20.0000
0.3590m,100.0000,98.3775,96.8181,95.3823,94.1265,93.1015,92.3515,91.9144,91.8215,92.0979,92.7619,93.8237,95.2807,97.1096,99.2476,101.5539,103.7375,105.2841,105.9007,105.4442,103.8533,101.1187,97.2838,92.4733,86.9626,81.2481,75.6039,70.1542,64.9469,59.9917,55.2795,50.7918,46.5054,42.3954,38.4357,34.6007,30.8646,27.2023,23.5889,20.0000
0.3846m,100.0000,98.6672,97.3942,96.2395,95.2585,94.5033,94.0218,93.8581,94.0530,94.6439,95.6662,97.1524,99.1309,101.6219,104.6237,108.0703,111.6719,114.2393,115.4731,115.2882,113.6566,110.5697,106.0380,100.1295,93.1268,86.2028,79.6314,73.4643,67.6896,62.2760,57.1856,52.3797,47.8204,43.4716,39.2992,35.2708,31.3557,27.5244,23.7484,20.0000
0.4103m,100.0000,98.8970,97.8522,96.9229,96.1647,95.6313,95.3742,95.4435,95.8884,96.7587,98.1067,99.9887,102.4687,105.6234,109.5551,114.4315,120.6405,124.5282,126.4642,126.5788,124.9153,121.4654,116.1691,108.8799,99.2123,90.8047,83.2549,76.3818,70.0714,64.2371,58.8073,53.7210,48.9248,44.3714,40.0186,35.8276,31.7630,27.7912,23.8804,20.0000
0.4359m,100.0000,99.0687,98.1948,97.4352,96.8462,96.4830,96.4003,96.6532,97.2983,98.3960,100.0131,102.2270,105.1317,108.8480,113.5418,119.4603,126.9994,131.8378,134.3458,134.7166,133.0295,129.2764,123.3622,115.0778,104.0378,94.5490,86.2018,78.7367,71.9771,65.7936,60.0856,54.7722,49.7863,45.0708,40.5761,36.2582,32.0774,27.9969,23.9822,20.0000
0.4615m,100.0000,99.1829,98.4229,97.7770,97.3019,97.0541,97.0908,97.4706,98.2557,99.5139,101.3228,103.7745,106.9832,111.0952,116.3040,122.8685,131.1280,136.5470,139.4336,139.9813,138.2787,134.3178,127.9946,119.1004,107.3122,97.1517,88.2665,80.3860,73.3068,66.8745,60.9692,55.4960,50.3776,45.5495,40.9568,36.5518,32.2915,28.1368,24.0513,20.0000
0.4872m,100.0000,99.2400,98.5370,97.9481,97.5303,97.3409,97.4382,97.8829,98.7399,100.0812,101.9897,104.5652,107.9313,112.2456,117.7104,124.5816,133.1661,138.8578,141.9293,142.5656,140.8552,136.7904,130.2673,121.0859,108.9591,98.4791,89.3265,81.2341,73.9898,67.4284,61.4209,55.8651,50.6784,45.7926,41.1500,36.7005,32.3999,28.2077,24.0863,20.0000
0.5128m,100.0000,99.2400,98.5370,97.9481,97.5303,97.3409,97.4382,97.8829,98.7399,100.0812,101.9897,104.5652,107.9313,112.2456,117.7104,124.5816,133.1661,138.8578,141.9293,142.5656,140.8552,136.7904,130.2673,121.0859,108.9591,98.4791,89.3265,81.2341,73.9898,67.4284,61.4209,55.8651,50.6784,45.7926,41.1500,36.7005,32.3999,28.2077,24.0863,20.0000
0.5385m,100.0000,99.1829,98.4229,97.7770,97.3019,97.0541,97.0908,97.4706,98.2557,99.5139,101.3228,103.7745,106.9832,111.0952,116.3040,122.8685,131.1280,136.5470,139.4336,139.9813,138.2787,134.3178,127.9946,119.1004,107.3122,97.1517,88.2665,80.3860,73.3068,66.8745,60.9692,55.4960,50.3776,45.5495,40.9568,36.5518,32.2915,28.1368,24.0513,20.0000
0.5641m,100.0000,99.0687,98.1948,97.4352,96.8462,96.4830,96.4003,96.6532,97.2983,98.3960,100.0131,102.2270,105.1317,108.8480,113.5418,119.4603,126.9994,131.8378,134.3458,134.7166,133.0295,129.2764,123.3622,115.0778,104.0378,94.5490,86.2018,78.7367,71.9771,65.7936,60.0856,54.7722,49.7863,45.0708,40.5761,36.2582,32.0774,27.9969,23.9822,20.0000
