Y \ X,0.0000m,0.0127m,0.0253m,0.0380m,0.0506m,0.0633m,0.0759m,0.0886m,0.1013m,0.1139m,0.1266m,0.1392m,0.1519m,0.1646m,0.1772m,0.1899m,0.2025m,0.2152m,0.2278m,0.2405m,0.2532m,0.2658m,0.2785m,0.2911m,0.3038m,0.3165m,0.3291m,0.3418m,0.3544m,0.3671m,0.3797m,0.3924m,0.4051m,0.4177m,0.4304m,0.4430m,0.4557m,0.4684m,0.4810m,0.4937m,0.5063m,0.5190m,0.5316m,0.5443m,0.5570m,0.5696m,0.5823m,0.5949m,0.6076m,0.6203m,0.6329m,0.6456m,0.6582m,0.6709m,0.6835m,0.6962m,0.7089m,0.7215m,0.7342m,0.7468m,0.7595m,0.7722m,0.7848m,0.7975m,0.8101m,0.8228m,0.8354m,0.8481m,0.8608m,0.8734m,0.8861m,0.8987m,0.9114m,0.9241m,0.9367m,0.9494m,0.9620m,0.9747m,0.9873m,1.0000m
0.3462m,100.0000,102.1751,104.3517,106.5315,108.7159,110.9065,113.1051,115.3131,117.5322,119.7638,122.0091,124.2688,126.5425,128.8284,131.1219,133.4130,135.6824,137.8914,139.9654,141.7770,143.2513,144.3496,145.0519,145.3484,145.2350,144.7116,143.7825,142.4575,140.7567,138.7188,136.4187,133.9841,131.4895,128.9736,126.4561,123.9468,121.4505,118.9694,116.5037,114.0531,111.6167,109.1932,106.7814,104.3801,101.9880,99.6041,97.2272,94.8566,92.4914,90.1308,87.7743,85.4212,83.0712,80.7237,78.3784,76.0350,73.6933,71.3529,69.0138,66.6757,64.3384,62.0019,59.6661,57.3308,54.9960,52.6616,50.3275,47.9937,45.6602,43.3269,40.9938,38.6608,36.3280,33.9952,31.6626,29.3300,26.9974,24.6649,22.3325,20.0000
0.3590m,100.0000,102.1419,104.2844,106.4282,108.5739,110.7220,112.8729,115.0269,117.1839,119.3436,121.5049,123.6656,125.8223,127.9691,130.0963,132.1888,134.2219,136.1574,137.9383,139.4925,140.7636,141.7138,142.3200,142.5691,142.4553,141.9785,141.1446,139.9669,138.4684,136.6868,134.6788,132.5163,130.2565,127.9376,125.5842,123.2118,120.8299,118.4445,116.0593,113.6764,111.2970,108.9218,106.5508,104.1840,101.8212,99.4621,97.1064,94.7537,92.4037,90.0561,87.7106,85.3670,83.0249,80.6842,78.3448,76.0064,73.6688,71.3321,68.9960,66.6605,64.3255,61.9909,59.6567,57.3228,54.9892,52.6558,50.3226,47.9896,45.6567,43.3239,40.9913,38.6587,36.3262,33.9938,31.6614,29.3291,26.9968,24.6645,22.3323,20.0000
0.3718m,100.0000,102.1080,104.2158,106.3231,108.4296,110.5346,112.6376,114.7376,116.8330,118.9218,121.0011,123.0666,125.1123,127.1297,129.1065,131.0253,132.8617,134.5820,136.1436,137.4986,138.6049,139.4308,139.9543,140.1621,140.0479,139.6116,138.8596,137.8053,136.4705,134.8872,133.0972,131.1486,129.0840,126.9370,124.7320,122.4866,120.2129,117.9195,115.6125,113.2961,110.9732,108.6460,106.3159,103.9838,101.6506,99.3167,96.9825,94.6481,92.3137,89.9793,87.6451,85.3111,82.9773,80.6436,78.3101,75.9768,73.6436,71.3106,68.9777,66.6449,64.3122,61.9796,59.6470,57.3146,54.9822,52.6498,50.3175,47.9853,45.6531,43.3209,40.9887,38.6566,36.3245,33.9924,31.6603,29.3282,26.9962,24.6641,22.3320,20.0000
0.3846m,100.0000,102.0744,104.1477,106.2189,108.2866,110.3494,112.4055,114.4529,116.4888,118.5098,120.5114,122.4879,124.4314,126.3320,128.1762,129.9466,131.6204,133.1695,134.5609,135.7597,136.7341,137.4580,137.9126,138.0856,137.9709,137.5687,136.8848,135.9315,134.7277,133.2994,131.6785,129.8997,127.9961,125.9958,123.9213,121.7903,119.6160,117.4085,115.1754,112.9224,110.6539,108.3732,106.0829,103.7849,101.4808,99.1718,96.8587,94.5424,92.2235,89.9024,87.5795,85.2551,82.9295,80.6028,78.2753,75.9471,73.6183,71.2890,68.9593,66.6292,64.2988,61.9682,59.6373,57.3063,54.9751,52.6438,50.3124,47.9810,45.6494,43.3178,40.9861,38.6544,36.3227,33.9909,31.6591,29.3273,26.9955,24.6637,22.3318,20.0000
0.3974m,100.0000,102.0419,104.0819,106.1182,108.1486,110.1709,112.1824,114.1800,116.1599,118.1177,120.0476,121.9429,123.7946,125.5921,127.3218,128.9668,130.5071,131.9188,133.1757,134.2511,135.1201,135.7616,136.1598,136.3040,136.1890,135.8147,135.1863,134.3146,133.2153,131.9094,130.4217,128.7790,127.0074,125.1306,123.1688,121.1385,119.0533,116.9238,114.7587,112.5647,110.3471,108.1103,105.8578,103.5923,101.3161,99.0309,96.7383,94.4396,92.1356,89.8273,87.5154,85.2004,82.8827,80.5629,78.2413,75.9181,73.5935,71.2678,68.9412,66.6138,64.2857,61.9570,59.6278,57.2982,54.9682,52.6380,50.3074,47.9767,45.6458,43.3148,40.9836,38.6523,36.3209,33.9895,31.6580,29.3264,26.9949,24.6633,22.3316,20.0000
0.4103m,100.0000,102.0112,104.0199,106.0235,108.0190,110.0035,111.9736,113.9252,115.8538,117.7541,119.6195,121.4424,123.2136,124.9219,126.5541,128.0947,129.5256,130.8268,131.9768,132.9543,133.7393,134.3148,134.6675,134.7884,134.6730,134.3212,133.7376,132.9311,131.9148,130.7058,129.3239,127.7904,126.1267,124.3527,122.4864,120.5431,118.5359,116.4758,114.3717,112.2311,110.0600,107.8637,105.6461,103.4107,101.1605,98.8977,96.6243,94.3420,92.0522,89.7560,87.4545,85.1483,82.8383,80.5250,78.2089,75.8904,73.5699,71.2477,68.9240,66.5991,64.2731,61.9463,59.6187,57.2904,54.9616,52.6323,50.3027,47.9727,45.6424,43.3119,40.9812,38.6503,36.3193,33.9881,31.6569,29.3256,26.9943,24.6629,22.3314,20.0000
0.4231m,100.0000,101.9832,103.9633,105.9369,107.9008,109.8510,111.7837,113.6940,115.5769,117.4262,119.2350,120.9951,122.6969,124.3296,125.8804,127.3350,128.6772,129.8898,130.9550,131.8550,132.5735,133.0966,133.4130,133.5153,133.3995,133.0657,132.5176,131.7627,130.8121,129.6796,128.3815,126.9354,125.3591,123.6696,121.8829,120.0132,118.0729,116.0728,114.0221,111.9287,109.7990,107.6387,105.4526,103.2445,101.0178,98.7753,96.5194,94.2522,91.9754,89.6903,87.3982,85.1002,82.7972,80.4899,78.1789,75.8648,73.5480,71.2290,68.9081,66.5855,64.2615,61.9364,59.6102,57.2832,54.9555,52.6271,50.2983,47.9689,45.6392,43.3092,40.9789,38.6484,36.3177,33.9869,31.6559,29.3248,26.9937,24.6625,22.3313,20.0000
0.4359m,100.0000,101.9584,103.9132,105.8605,107.7964,109.7166,111.6166,113.4910,115.3343,117.1399,118.9004,120.6074,122.2513,123.8214,125.3056,126.6905,127.9617,129.1042,130.1026,130.9418,131.6083,132.0902,132.3782,132.4658,132.3498,132.0300,131.5097,130.7952,129.8958,128.8233,127.5911,126.2141,124.7076,123.0863,121.3647,119.5558,117.6713,115.7218,113.7165,111.6634,109.5694,107.4404,105.2816,103.0973,100.8913,98.6667,96.4263,94.1724,91.9070,89.6317,87.3481,85.0574,82.7606,80.4586,78.1521,75.8419,73.5285,71.2123,68.8939,66.5734,64.2512,61.9276,59.6027,57.2768,54.9500,52.6225,50.2943,47.9656,45.6364,43.3068,40.9769,38.6468,36.3163,33.9858,31.6550,29.3241,26.9932,24.6622,22.3311,20.0000
0.4487m,100.0000,101.9374,103.8708,105.7958,107.7081,109.6030,111.4756,113.3201,115.1305,116.8999,118.6208,120.2844,121.8815,123.4013,124.8325,126.1626,127.3784,128.4665,129.4133,130.2059,130.8325,131.2829,131.5490,131.6254,131.5090,131.1999,130.7009,130.0174,129.1573,128.1307,126.9493,125.6258,124.1736,122.6061,120.9361,119.1758,117.3364,115.4281,113.4600,111.4401,109.3757,107.2727,105.1368,102.9725,100.7838,98.5743,96.3470,94.1043,91.8486,89.5818,87.3054,85.0208,82.7293,80.4318,78.1293,75.8224,73.5118,71.1981,68.8817,66.5630,64.2423,61.9200,59.5963,57.2713,54.9454,52.6185,50.2909,47.9627,45.6340,43.3048,40.9752,38.6453,36.3152,33.9848,31.6542,29.3236,26.9928,24.6619,22.3310,20.0000
0.4615m,100.0000,101.9206,103.8369,105.7441,107.6376,109.5125,111.3633,113.1841,114.9687,116.7098,118.3997,120.0299,121.5908,123.0723,124.4632,125.7519,126.9262,127.9737,128.8823,129.6403,130.2374,130.6645,130.9145,130.9825,130.8660,130.5648,130.0815,129.4207,128.5896,127.5970,126.4531,125.1695,123.7581,122.2309,120.6001,118.8769,117.0722,115.1957,113.2565,111.2627,109.2214,107.1390,105.0211,102.8726,100.6978,98.5003,96.2833,94.0497,91.8018,89.5416,87.2710,84.9914,82.7041,80.4103,78.1109,75.8067,73.4984,71.1866,68.8719,66.5546,64.2352,61.9139,59.5911,57.2669,54.9416,52.6153,50.2882,47.9604,45.6320,43.3031,40.9738,38.6442,36.3142,33.9840,31.6536,29.3231,26.9924,24.6617,22.3308,20.0000
